"iyear","imonth","iday","country","country_txt","region","region_txt","provstate","crit1","crit2","crit3","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","gname","motive","individual","nperps","claimed","weaptype1","weaptype1_txt","nkill","nwound","INT_LOG","INT_IDEO"
1970,9,6,217,"United States",1,"North America","Massachusetts",1,1,1,0,0,0,3,"Bombing/Explosion",3,"Police",22,"Police Building (headquarters, station, school)","Unknown",,1,-99,0,6,"Explosives",0,0,-9,-9
1971,4,27,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Left-wing extremists",,1,1,0,6,"Explosives",0,0,-9,-9
1971,10,6,161,"Poland",9,"Eastern Europe","Opole",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Anti-Communist extremists","To protest the communist regime and suppresion of demonstrations by police.",1,2,0,6,"Explosives",0,0,-9,-9
1972,3,15,98,"Italy",8,"Western Europe","Lombardy",1,1,1,0,1,0,3,"Bombing/Explosion",21,"Utilities",107,"Electricity","Unknown","The motive for this specific attack is unknown.  However, there were a series of similar attacks perpetrated by left wings groups around this time.",1,-99,0,6,"Explosives",1,0,-9,-9
1973,9,26,217,"United States",1,"North America","Louisiana",1,1,1,0,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","White supremacists/nationalists","Allegedly to kill the regional director of the Anti-Defamation League , A.I. Botnick",1,1,0,6,"Explosives",0,0,-9,-9
1974,6,15,217,"United States",1,"North America","District of Columbia",1,1,1,0,0,0,8,"Unarmed Assault",2,"Government (General)",14,"Judge/Attorney/Court","Anti-Government extremists",,1,1,,7,"Fake Weapons",0,0,-9,-9
1974,8,6,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",6,"Airports & Aircraft",44,"Airport","Anti-Government extremists","The specific motive for this incident is unknown; however, Kurbegovic's views stemmed from an agenda against a judge and commissioners who prevented him from opening up a business, specifically a hall for “taxi dancers,” where women were paid to slow-dance with men.  Additionally, the motivations for his attacks were to repeal immigration and naturalization laws as well as laws about sex.",1,1,1,6,"Explosives",3,36,-9,-9
1974,8,7,217,"United States",1,"North America","New York",1,1,1,0,0,0,3,"Bombing/Explosion",7,"Government (Diplomatic)",47,"International Organization (peacekeeper, aid agency, compound)","Unknown",,1,,,6,"Explosives",0,0,-9,-9
1974,8,16,217,"United States",1,"North America","California",1,1,1,0,0,0,3,"Bombing/Explosion",19,"Transportation",101,"Bus Station/Stop","Anti-Government extremists","The specific motive for this incident is unknown; however, Kurbegovic's views stemmed from an agenda against a judge and commissioners who prevented him from opening up a business, specifically a hall for “taxi dancers,” where women were paid to slow-dance with men.  Additionally, the motivations for his attacks were to repeal immigration and naturalization laws as well as laws about sex.",1,1,1,6,"Explosives",0,0,-9,-9
1975,9,5,217,"United States",1,"North America","California",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",17,"Head of State","Supporters of Charles Manson","Reports of the motivations for this incident vary from bringing attention to the 'unfair' imprisonment of Charles Manson and his cohorts to trying to raise awareness of environmental issues such as the plight of the California Redwoods and the dangers of nuclear power.",1,1,0,5,"Firearms",0,0,-9,-9
